checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
dpo__mistral_safety,16,first_gen,mean_diff,0.5766521692276001,-2.186782121658325,-0.47492475635328946,9.208962440490723,0.8773006134969326,0.7632,0.8976773023605347,0.4116433262825012,260,740,565,250,1000
dpo__mistral_safety,19,first_gen,mean_diff,0.6128921508789062,-3.450427532196045,-0.4732737988293456,14.58110523223877,0.8809815950920246,0.728,0.9116933345794678,0.471333771944046,260,740,565,250,1000
dpo__mistral_safety,24,first_gen,mean_diff,0.6798344850540161,-5.69209098815918,-0.4431733181386244,25.687877655029297,0.8809815950920246,0.652,0.9206313490867615,0.5723490715026855,260,740,565,250,1000
dpo__mistral_safety,26,first_gen,mean_diff,0.6983010768890381,-6.894478797912598,-0.43902488347239804,31.408145904541016,0.8822085889570552,0.644,0.9186369180679321,0.6063781976699829,260,740,565,250,1000
dpo__mistral_safety,31,first_gen,mean_diff,0.7118502855300903,-11.641870498657227,-0.39556279868794086,58.86231231689453,0.8748466257668711,0.6376,0.92580246925354,0.5850406885147095,260,740,565,250,1000
final__none,8,first_gen,mean_diff,0.4574016332626343,-0.6993292570114136,-0.44804285949518946,3.121706962585449,0.8331288343558282,0.896,0.8654502630233765,0.2512430250644684,214,786,565,250,1000
final__none,16,first_gen,mean_diff,0.5945687294006348,-1.4555199146270752,-0.35006352861276196,8.315747261047363,0.8306748466257668,0.8224,0.8642805814743042,0.39720064401626587,214,786,565,250,1000
final__none,19,first_gen,mean_diff,0.6303602457046509,-2.5305871963500977,-0.3775673314437273,13.404693603515625,0.8294478527607362,0.7392,0.8808139562606812,0.48418402671813965,214,786,565,250,1000
final__none,24,first_gen,mean_diff,0.6900155544281006,-4.24728536605835,-0.36681464385238927,23.157665252685547,0.8319018404907975,0.6488,0.894807755947113,0.5944799184799194,214,786,565,250,1000
final__none,26,first_gen,mean_diff,0.7038697004318237,-5.3271613121032715,-0.37928317207269313,28.090681076049805,0.8319018404907975,0.6432,0.8936145305633545,0.627470850944519,214,786,565,250,1000
final__none,31,first_gen,mean_diff,0.671241044998169,-11.557310104370117,-0.4131590345074746,55.94606018066406,0.8294478527607362,0.6848,0.8998552560806274,0.535805881023407,214,786,565,250,1000
final__mistral_safety,8,first_gen,mean_diff,0.5345534086227417,-0.7677270770072937,-0.4486350481629691,3.422501564025879,0.8760736196319019,0.7664,0.8865658044815063,0.3533684313297272,260,740,565,250,1000
final__mistral_safety,16,first_gen,mean_diff,0.5766100883483887,-2.1912317276000977,-0.4738806251040886,9.248032569885254,0.8809815950920246,0.7712,0.9001819491386414,0.4129642844200134,260,740,565,250,1000
final__mistral_safety,19,first_gen,mean_diff,0.6128845810890198,-3.4472827911376953,-0.47242340517281656,14.594038963317871,0.8822085889570552,0.7336,0.9143260717391968,0.47355395555496216,260,740,565,250,1000
final__mistral_safety,24,first_gen,mean_diff,0.6828269958496094,-5.657891273498535,-0.43931256180313427,25.757930755615234,0.8834355828220859,0.6584,0.9230424165725708,0.5806174278259277,260,740,565,250,1000
final__mistral_safety,26,first_gen,mean_diff,0.7027211785316467,-6.812254905700684,-0.4324076607552762,31.50848388671875,0.8846625766871166,0.6536,0.920845627784729,0.6164220571517944,260,740,565,250,1000
final__mistral_safety,31,first_gen,mean_diff,0.7125287055969238,-11.733163833618164,-0.3941799041814978,59.53202438354492,0.8773006134969326,0.6416,0.9280855059623718,0.5940233469009399,260,740,565,250,1000
